"name","activity"
"Heinävesi","Vain muu laajamittainen"
"Iisalmi","Vain muu laajamittainen"
"Evijärvi","Vain suppeampi"
"Forssa","Vain suppeampi"
"Jokioinen","Vain suppeampi"
"Kannonkoski","Vain suppeampi"
"Kerava","Vain suppeampi"
"Konnevesi","Vain suppeampi"
"Lappajärvi","Vain suppeampi"
"Luoto","Vain suppeampi"
"Muurame","Vain suppeampi"
"Mänttä-Vilppula","Vain suppeampi"
"Paimio","Vain suppeampi"
"Pyhäntä","Vain suppeampi"
"Saarijärvi","Vain suppeampi"
"Urjala","Vain suppeampi"
"Alajärvi","Vain suppeampi"
"Ylivieska","Vain suppeampi"
"Eura","Molemmat"
"Janakkala","Molemmat"
"Kalajoki","Molemmat"
"Kuopio","Molemmat"
"Kärsämäki","Molemmat"
"Muonio","Molemmat"
"Naantali","Molemmat"
"Nakkila","Molemmat"
"Orivesi","Molemmat"
"Pedersören kunta","Molemmat"
"Pori","Molemmat"
"Raahe","Molemmat"
"Sipoo","Molemmat"
"Suomussalmi","Molemmat"
"Akaa","Molemmat"
